"iso2c","year","default_date"
"AL",1995,1995-08-01
"AR",1985,1985-08-01
"AR",1987,1987-08-01
"AR",1993,1993-04-01
"AR",2005,2005-06-01
"BG",1994,1994-06-01
"BA",1997,1997-12-01
"BZ",2007,2007-02-01
"BZ",2013,2013-02-01
"BO",1988,1988-03-01
"BO",1993,1993-04-01
"BR",1983,1983-02-01
"BR",1984,1984-01-01
"BR",1986,1986-09-01
"BR",1988,1988-11-01
"BR",1992,1992-11-01
"BR",1994,1994-04-01
"CL",1983,1983-11-01
"CL",1984,1984-01-01
"CL",1986,1986-04-01
"CL",1987,1987-06-01
"CL",1990,1990-12-01
"CI",1998,1998-03-01
"CI",2010,2010-04-01
"CI",2012,2012-10-01
"CM",2003,2003-08-01
"CD",1980,1980-04-01
"CD",1983,1983-01-01
"CD",1984,1984-06-01
"CD",1985,1985-05-01
"CD",1986,1986-05-01
"CD",1987,1987-05-01
"CD",1989,1989-06-01
"CG",1988,1988-02-01
"CG",2007,2007-12-01
"CR",1983,1983-09-01
"CR",1985,1985-05-01
"CR",1990,1990-05-01
"CU",1983,1983-12-01
"CU",1984,1984-12-01
"CU",1985,1985-09-01
"DM",2004,2004-09-01
"DO",1986,1986-02-01
"DO",1994,1994-08-01
"DO",2005,2005-05-01
"DO",2005,2005-10-01
"DZ",1992,1992-03-01
"DZ",1996,1996-07-01
"EC",1983,1983-10-01
"EC",1984,1984-08-01
"EC",1985,1985-12-01
"EC",1995,1995-02-01
"EC",2000,2000-08-01
"EC",2009,2009-06-01
"ET",1996,1996-01-01
"GA",1987,1987-12-01
"GA",1994,1994-05-01
"GN",1988,1988-04-01
"GN",1998,1998-12-01
"GM",1988,1988-02-01
"GR",2012,2012-03-01
"GD",2005,2005-11-01
"GY",1992,1992-11-01
"GY",1999,1999-12-01
"HN",1989,1989-10-01
"HN",2001,2001-08-01
"HR",1996,1996-07-01
"IQ",2006,2006-01-01
"JM",1978,1978-09-01
"JM",1979,1979-04-01
"JM",1981,1981-06-01
"JM",1984,1984-06-01
"JM",1985,1985-09-01
"JM",1987,1987-05-01
"JM",1990,1990-06-01
"JO",1993,1993-12-01
"KE",1998,1998-06-01
"KN",2012,2012-02-01
"LR",1982,1982-12-01
"LR",2009,2009-04-01
"MA",1986,1986-02-01
"MA",1987,1987-09-01
"MA",1990,1990-09-01
"MD",2002,2002-10-01
"MD",2004,2004-06-01
"MG",1981,1981-11-01
"MG",1984,1984-10-01
"MG",1987,1987-06-01
"MG",1990,1990-04-01
"MX",1983,1983-08-01
"MX",1985,1985-03-01
"MX",1985,1985-08-01
"MX",1987,1987-03-01
"MX",1988,1988-03-01
"MX",1990,1990-02-01
"MK",1997,1997-03-01
"MZ",1991,1991-12-01
"MZ",2007,2007-09-01
"MR",1996,1996-08-01
"MW",1983,1983-03-01
"MW",1988,1988-10-01
"NE",1984,1984-03-01
"NE",1986,1986-04-01
"NE",1991,1991-03-01
"NG",1983,1983-07-01
"NG",1983,1983-09-01
"NG",1984,1984-04-01
"NG",1987,1987-11-01
"NG",1988,1988-01-01
"NG",1989,1989-06-01
"NG",1991,1991-12-01
"NI",1980,1980-12-01
"NI",1981,1981-12-01
"NI",1982,1982-03-01
"NI",1984,1984-02-01
"NI",1995,1995-11-01
"NI",2007,2007-12-01
"PK",1999,1999-12-01
"PK",1999,1999-12-01
"PA",1985,1985-10-01
"PA",1994,1994-08-01
"PA",1996,1996-04-01
"PE",1978,1978-12-01
"PE",1980,1980-01-01
"PE",1983,1983-07-01
"PE",1997,1997-03-01
"PH",1986,1986-04-01
"PH",1987,1987-12-01
"PH",1990,1990-02-01
"PH",1992,1992-12-01
"PL",1982,1982-04-01
"PL",1982,1982-11-01
"PL",1983,1983-11-01
"PL",1984,1984-07-01
"PL",1986,1986-09-01
"PL",1988,1988-07-01
"PL",1989,1989-07-01
"PL",1994,1994-10-01
"PY",1993,1993-07-01
"RO",1982,1982-12-01
"RO",1983,1983-06-01
"RO",1986,1986-09-01
"RU",1997,1997-12-01
"RU",1999,1999-05-01
"RU",2000,2000-02-01
"RU",2000,2000-08-01
"SD",1985,1985-10-01
"SN",1984,1984-02-01
"SN",1985,1985-05-01
"SN",1990,1990-09-01
"SN",1996,1996-12-01
"SL",1995,1995-08-01
"RS",2004,2004-07-01
"ST",1994,1994-08-01
"SI",1996,1996-03-01
"SC",2010,2010-02-01
"TG",1988,1988-05-01
"TG",1997,1997-12-01
"TT",1989,1989-12-01
"TR",1979,1979-06-01
"TR",1979,1979-08-01
"TR",1981,1981-08-01
"TR",1982,1982-03-01
"TZ",2004,2004-01-01
"UG",1993,1993-02-01
"UA",1998,1998-09-01
"UA",1998,1998-10-01
"UA",1999,1999-08-01
"UA",2000,2000-04-01
"UY",1983,1983-07-01
"UY",1986,1986-07-01
"UY",1988,1988-03-01
"UY",1991,1991-01-01
"UY",2003,2003-05-01
"VE",1986,1986-02-01
"VE",1987,1987-09-18
"VE",1990,1990-12-01
"VN",1997,1997-12-01
"YE",2001,2001-02-01
"ZA",1987,1987-03-01
"ZA",1989,1989-10-01
"ZA",1993,1993-09-01
"ZM",1994,1994-09-01
